seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
7,45,0.484375,0.44375,0.525
7,46,0.4875,0.45,0.525
7,47,0.4875,0.4375,0.5375
7,48,0.478125,0.45625,0.5
7,49,0.496875,0.49375,0.5
7,50,0.496875,0.4875,0.50625
7,51,0.496875,0.4875,0.50625
7,52,0.503125,0.46875,0.5375
7,53,0.50625,0.4625,0.55
7,54,0.496875,0.45,0.54375
7,55,0.496875,0.4375,0.55625
7,56,0.478125,0.45,0.50625
7,57,0.48125,0.44375,0.51875
7,58,0.46875,0.44375,0.49375
7,59,0.48125,0.48125,0.48125
7,60,0.4875,0.475,0.5
7,61,0.48125,0.45625,0.50625
8,0,0.50625,0.4375,0.575
8,1,0.490625,0.5125,0.46875
8,2,0.48125,0.49375,0.46875
8,3,0.4875,0.49375,0.48125
8,4,0.49375,0.46875,0.51875
8,5,0.496875,0.5,0.49375
8,6,0.54375,0.53125,0.55625
8,7,0.571875,0.6,0.54375
8,8,0.553125,0.56875,0.5375
8,9,0.53125,0.56875,0.49375
8,10,0.5375,0.51875,0.55625
8,11,0.528125,0.50625,0.55
8,12,0.521875,0.5125,0.53125
8,13,0.51875,0.51875,0.51875
8,14,0.4875,0.50625,0.46875
8,15,0.534375,0.54375,0.525
8,16,0.50625,0.53125,0.48125
8,17,0.528125,0.54375,0.5125
8,18,0.5625,0.5625,0.5625
8,19,0.553125,0.59375,0.5125
8,20,0.546875,0.59375,0.5
8,21,0.584375,0.6125,0.55625
8,22,0.575,0.59375,0.55625
8,23,0.55,0.55625,0.54375
8,24,0.559375,0.5625,0.55625
8,25,0.553125,0.56875,0.5375
8,26,0.5875,0.59375,0.58125
8,27,0.575,0.5625,0.5875
8,28,0.575,0.56875,0.58125
8,29,0.596875,0.5625,0.63125
8,30,0.590625,0.58125,0.6
8,31,0.55625,0.53125,0.58125
8,32,0.559375,0.55625,0.5625
8,33,0.5625,0.54375,0.58125
8,34,0.565625,0.55,0.58125
8,35,0.55625,0.525,0.5875
8,36,0.546875,0.5125,0.58125
8,37,0.553125,0.54375,0.5625
8,38,0.584375,0.55625,0.6125
8,39,0.578125,0.54375,0.6125
