seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
25,12,0.496875,0.51875,0.475
25,13,0.5,0.4625,0.5375
25,14,0.490625,0.4625,0.51875
25,15,0.48125,0.45,0.5125
25,16,0.5125,0.48125,0.54375
25,17,0.496875,0.475,0.51875
25,18,0.503125,0.46875,0.5375
25,19,0.515625,0.50625,0.525
25,20,0.5125,0.53125,0.49375
25,21,0.503125,0.5125,0.49375
25,22,0.525,0.55,0.5
25,23,0.5,0.5125,0.4875
26,0,0.50625,0.5,0.5125
26,1,0.471875,0.475,0.46875
26,2,0.534375,0.51875,0.55
26,3,0.50625,0.4375,0.575
26,4,0.528125,0.5125,0.54375
26,5,0.5125,0.5125,0.5125
26,6,0.51875,0.5,0.5375
26,7,0.471875,0.44375,0.5
26,8,0.49375,0.50625,0.48125
26,9,0.503125,0.53125,0.475
26,10,0.525,0.50625,0.54375
26,11,0.5125,0.5375,0.4875
26,12,0.51875,0.51875,0.51875
26,13,0.503125,0.46875,0.5375
26,14,0.4875,0.4,0.575
26,15,0.4875,0.46875,0.50625
26,16,0.478125,0.46875,0.4875
26,17,0.4875,0.49375,0.48125
26,18,0.496875,0.4875,0.50625
26,19,0.49375,0.475,0.5125
26,20,0.471875,0.46875,0.475
26,21,0.49375,0.4875,0.5
26,22,0.509375,0.51875,0.5
26,23,0.50625,0.5,0.5125
27,0,0.496875,0.44375,0.55
27,1,0.484375,0.48125,0.4875
27,2,0.478125,0.475,0.48125
27,3,0.478125,0.4625,0.49375
27,4,0.490625,0.46875,0.5125
27,5,0.50625,0.49375,0.51875
27,6,0.49375,0.5125,0.475
27,7,0.48125,0.5125,0.45
27,8,0.49375,0.45625,0.53125
27,9,0.48125,0.49375,0.46875
27,10,0.490625,0.48125,0.5
27,11,0.540625,0.5375,0.54375
27,12,0.540625,0.55625,0.525
27,13,0.54375,0.56875,0.51875
27,14,0.515625,0.53125,0.5
27,15,0.509375,0.5125,0.50625
27,16,0.4625,0.45,0.475
27,17,0.5,0.525,0.475
27,18,0.5,0.525,0.475
27,19,0.4875,0.5125,0.4625
27,20,0.503125,0.5375,0.46875
27,21,0.50625,0.55,0.4625
27,22,0.509375,0.53125,0.4875
27,23,0.5125,0.525,0.5
28,0,0.5,0.46875,0.53125
28,1,0.5,0.5375,0.4625
28,2,0.50625,0.49375,0.51875
28,3,0.54375,0.5375,0.55
28,4,0.515625,0.49375,0.5375
28,5,0.546875,0.55625,0.5375
28,6,0.55,0.53125,0.56875
28,7,0.553125,0.55,0.55625
28,8,0.515625,0.53125,0.5
28,9,0.521875,0.54375,0.5
28,10,0.534375,0.575,0.49375
28,11,0.565625,0.54375,0.5875
28,12,0.540625,0.54375,0.5375
28,13,0.553125,0.56875,0.5375
28,14,0.490625,0.49375,0.4875
28,15,0.53125,0.525,0.5375
28,16,0.55,0.5625,0.5375
28,17,0.534375,0.53125,0.5375
28,18,0.525,0.54375,0.50625
28,19,0.528125,0.50625,0.55
28,20,0.5375,0.55,0.525
28,21,0.509375,0.4875,0.53125
28,22,0.51875,0.5,0.5375
28,23,0.53125,0.525,0.5375
29,0,0.496875,0.46875,0.525
29,1,0.50625,0.4875,0.525
29,2,0.4875,0.49375,0.48125
29,3,0.503125,0.5375,0.46875
29,4,0.490625,0.4875,0.49375
29,5,0.484375,0.50625,0.4625
29,6,0.465625,0.46875,0.4625
29,7,0.51875,0.51875,0.51875
29,8,0.503125,0.5125,0.49375
29,9,0.50625,0.53125,0.48125
29,10,0.528125,0.51875,0.5375
29,11,0.50625,0.4875,0.525
29,12,0.46875,0.4625,0.475
29,13,0.478125,0.4625,0.49375
29,14,0.49375,0.4625,0.525
29,15,0.4875,0.45625,0.51875
29,16,0.48125,0.475,0.4875
29,17,0.471875,0.45625,0.4875
29,18,0.49375,0.49375,0.49375
29,19,0.465625,0.45625,0.475
29,20,0.475,0.475,0.475
29,21,0.471875,0.48125,0.4625
29,22,0.4875,0.49375,0.48125
29,23,0.496875,0.51875,0.475
30,0,0.50625,0.5,0.5125
30,1,0.471875,0.4875,0.45625
30,2,0.465625,0.45625,0.475
30,3,0.50625,0.54375,0.46875
30,4,0.475,0.50625,0.44375
30,5,0.5,0.4875,0.5125
30,6,0.484375,0.5125,0.45625
30,7,0.484375,0.49375,0.475
30,8,0.50625,0.50625,0.50625
30,9,0.45,0.43125,0.46875
30,10,0.48125,0.45,0.5125
30,11,0.5,0.49375,0.50625
30,12,0.5,0.46875,0.53125
30,13,0.50625,0.53125,0.48125
30,14,0.5125,0.54375,0.48125
30,15,0.48125,0.5125,0.45
30,16,0.478125,0.54375,0.4125
30,17,0.515625,0.54375,0.4875
30,18,0.478125,0.49375,0.4625
30,19,0.49375,0.50625,0.48125
30,20,0.528125,0.49375,0.5625
30,21,0.53125,0.4875,0.575
30,22,0.515625,0.525,0.50625
30,23,0.515625,0.5,0.53125
31,0,0.478125,0.4875,0.46875
31,1,0.5125,0.5,0.525
31,2,0.496875,0.43125,0.5625
31,3,0.496875,0.4875,0.50625
31,4,0.540625,0.50625,0.575
31,5,0.534375,0.4875,0.58125
31,6,0.54375,0.54375,0.54375
31,7,0.51875,0.5375,0.5
31,8,0.515625,0.575,0.45625
