participant_id,item_index,image_word,condition,rating
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,33,accusatory,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,34,lovingly,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,35,playful,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,36,mangoes,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,37,park,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,38,backyard,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,39,excitedly,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,40,sock,incongruent,3
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,41,naked,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,42,shy,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,43,flattered,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,44,cellmate,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,45,promoted,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,46,celebration,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,47,crayon,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,48,waiter,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,49,parents,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,50,sofa,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,51,homework,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,52,quiz,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,53,excitement,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,54,niece,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,55,film,congruent,4
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,56,banquet,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,57,drink,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,58,pool,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,59,plushy,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,60,sister,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,61,game,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,62,funeral,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,63,grades,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,64,arrest,congruent,4
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,65,coffee,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,66,sentencing,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,67,nap,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,68,tire,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,69,chemotherapy,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,70,lullaby,incongruent,3
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,71,uniform,incongruent,2
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,72,sweats,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,73,deadline,incongruent,1
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,74,kindergarten,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,75,tickled,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,76,snowman,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,77,music,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,78,playoffs,congruent,5
03f05a8a-1a0d-4a1a-85a1-3565ec3be9f0,79,alcoholism,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,0,refrigerator,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,1,disappointment,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,2,overcoat,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,3,marathon,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,4,prescription,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,5,distress,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,6,patients,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,7,deadlock,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,8,cancer,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,9,terminal,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,10,cash,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,11,lonely,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,12,outrage,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,13,snowstorm,incongruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,14,laughter,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,15,instrument,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,16,racers,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,17,playdate,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,18,relieved,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,19,friends,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,20,song,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,21,fought,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,22,reassured,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,23,operation,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,24,aftermath,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,25,daughter,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,26,roommate,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,27,mother,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,28,prison,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,29,hopeful,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,30,appalled,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,31,reprimand,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,32,angrily,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,33,flirtatious,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,34,disapprovingly,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,35,distant,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,36,headphones,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,37,playroom,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,38,bedroom,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,39,solemnly,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,40,car,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,41,overdressed,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,42,lively,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,43,offended,incongruent,3
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,44,grandkid,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,45,fired,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,46,shooting,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,47,beer,incongruent,2
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,48,taxi,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,49,keys,incongruent,1
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,50,sky,congruent,5
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,51,obesity,congruent,4
0a0fd600-d30a-49cb-bb91-e8e0a3152f5f,52,commute,incongruent,2
