seed,max_accuracy
834,0.51875
835,0.553125
836,0.5375
837,0.578125
838,0.540625
839,0.53125
840,0.559375
841,0.525
842,0.51875
843,0.540625
844,0.521875
845,0.559375
846,0.515625
847,0.559375
848,0.540625
849,0.525
850,0.5375
851,0.51875
852,0.578125
853,0.50625
854,0.5625
855,0.55
856,0.55
857,0.5375
858,0.54375
859,0.54375
860,0.565625
861,0.5375
862,0.521875
863,0.5125
864,0.5375
865,0.55
866,0.578125
867,0.540625
868,0.528125
869,0.54375
870,0.61875
871,0.53125
872,0.525
873,0.578125
874,0.56875
875,0.534375
876,0.521875
877,0.525
878,0.528125
879,0.53125
880,0.56875
881,0.553125
882,0.584375
883,0.596875
884,0.546875
885,0.6
886,0.56875
887,0.553125
888,0.521875
889,0.571875
890,0.521875
891,0.553125
892,0.5625
893,0.609375
894,0.540625
895,0.53125
896,0.559375
897,0.5375
898,0.5375
899,0.58125
900,0.53125
901,0.515625
902,0.5125
903,0.54375
904,0.55
905,0.5375
906,0.515625
907,0.571875
908,0.540625
909,0.534375
910,0.534375
911,0.51875
912,0.51875
913,0.521875
914,0.565625
915,0.55
916,0.55625
917,0.60625
918,0.56875
919,0.559375
920,0.546875
921,0.5625
922,0.5375
923,0.534375
924,0.5125
925,0.528125
926,0.553125
927,0.546875
928,0.5625
929,0.534375
930,0.528125
931,0.5125
932,0.525
933,0.53125
934,0.525
935,0.56875
936,0.54375
937,0.540625
938,0.528125
939,0.54375
940,0.571875
941,0.540625
942,0.55625
943,0.540625
944,0.59375
945,0.5375
946,0.546875
947,0.540625
948,0.525
949,0.54375
950,0.503125
951,0.559375
952,0.55625
953,0.528125
954,0.59375
955,0.56875
956,0.54375
957,0.590625
958,0.575
959,0.55
960,0.553125
961,0.53125
962,0.515625
963,0.553125
964,0.540625
965,0.55
966,0.55625
967,0.53125
968,0.565625
969,0.55
970,0.521875
971,0.525
972,0.5375
973,0.55625
974,0.53125
975,0.56875
976,0.575
977,0.55625
978,0.54375
979,0.525
980,0.5125
981,0.55
982,0.559375
983,0.5625
984,0.546875
985,0.56875
986,0.6
987,0.5875
988,0.525
989,0.54375
990,0.5
991,0.528125
992,0.51875
993,0.51875
994,0.59375
995,0.5875
996,0.5375
997,0.58125
998,0.596875
999,0.534375
