seed,max_accuracy
290,0.5375
291,0.54375
292,0.5125
293,0.51875
294,0.540625
295,0.53125
296,0.5375
297,0.5125
298,0.51875
299,0.54375
300,0.575
301,0.509375
302,0.521875
303,0.578125
304,0.565625
305,0.525
306,0.553125
307,0.540625
308,0.534375
309,0.534375
310,0.51875
311,0.61875
312,0.53125
313,0.54375
314,0.553125
315,0.59375
316,0.55
317,0.565625
318,0.509375
319,0.540625
320,0.55
321,0.55625
322,0.528125
323,0.521875
324,0.534375
325,0.546875
326,0.5375
327,0.515625
328,0.534375
329,0.528125
330,0.51875
331,0.546875
332,0.559375
333,0.5375
334,0.50625
335,0.56875
336,0.5625
337,0.525
338,0.565625
339,0.5375
340,0.521875
341,0.54375
342,0.515625
343,0.6
344,0.540625
345,0.553125
346,0.51875
347,0.50625
348,0.521875
349,0.571875
350,0.51875
351,0.546875
352,0.528125
353,0.53125
354,0.56875
355,0.496875
356,0.515625
357,0.5
358,0.578125
359,0.5125
360,0.54375
361,0.553125
362,0.521875
363,0.515625
364,0.528125
365,0.50625
366,0.528125
367,0.578125
368,0.56875
369,0.565625
370,0.571875
371,0.55
372,0.534375
373,0.53125
374,0.5375
375,0.51875
376,0.521875
377,0.55625
378,0.55
379,0.53125
380,0.54375
381,0.5625
382,0.546875
383,0.5625
384,0.50625
385,0.53125
386,0.55
387,0.528125
388,0.546875
389,0.54375
390,0.534375
391,0.54375
392,0.584375
393,0.56875
394,0.55
395,0.5625
396,0.5375
397,0.503125
398,0.53125
399,0.503125
400,0.5625
401,0.54375
402,0.5375
403,0.51875
404,0.528125
405,0.5375
406,0.54375
407,0.578125
408,0.515625
409,0.571875
410,0.50625
411,0.559375
412,0.559375
413,0.54375
414,0.515625
415,0.525
416,0.559375
417,0.51875
418,0.515625
419,0.5125
420,0.528125
421,0.540625
422,0.559375
423,0.5375
424,0.534375
425,0.509375
426,0.55
427,0.534375
428,0.528125
429,0.5125
430,0.55
431,0.546875
432,0.546875
433,0.559375
434,0.540625
435,0.528125
436,0.5625
437,0.55625
438,0.534375
439,0.565625
440,0.53125
441,0.5375
442,0.55625
443,0.540625
444,0.515625
445,0.515625
446,0.51875
447,0.5625
448,0.51875
449,0.5625
450,0.53125
451,0.53125
452,0.53125
453,0.571875
454,0.521875
455,0.540625
456,0.503125
457,0.55625
458,0.546875
459,0.5375
460,0.58125
461,0.55625
462,0.534375
463,0.525
464,0.571875
465,0.515625
466,0.515625
467,0.525
468,0.559375
469,0.51875
470,0.540625
471,0.503125
472,0.51875
473,0.525
474,0.565625
475,0.575
476,0.565625
477,0.528125
478,0.540625
479,0.56875
480,0.55
481,0.525
482,0.525
483,0.528125
484,0.5375
485,0.509375
486,0.525
487,0.51875
488,0.503125
489,0.559375
490,0.521875
491,0.521875
492,0.55
493,0.55
494,0.515625
495,0.546875
496,0.528125
497,0.559375
498,0.515625
499,0.54375
500,0.55
501,0.640625
502,0.546875
503,0.51875
504,0.5625
505,0.534375
506,0.53125
507,0.56875
508,0.55
509,0.534375
510,0.53125
511,0.578125
512,0.51875
513,0.51875
514,0.5125
515,0.58125
516,0.54375
517,0.609375
518,0.546875
519,0.525
520,0.5375
521,0.540625
522,0.55
523,0.525
524,0.5625
525,0.515625
526,0.525
527,0.534375
528,0.584375
529,0.5375
530,0.565625
531,0.525
532,0.559375
533,0.55
534,0.54375
535,0.559375
536,0.53125
537,0.528125
538,0.540625
539,0.540625
540,0.490625
541,0.55625
542,0.528125
543,0.528125
544,0.525
545,0.50625
546,0.525
547,0.5125
548,0.540625
549,0.53125
550,0.528125
551,0.528125
552,0.521875
553,0.49375
554,0.590625
555,0.525
556,0.546875
557,0.525
558,0.5125
559,0.55625
560,0.53125
561,0.5375
562,0.5375
