seed,max_accuracy
336,0.54375
337,0.521875
338,0.525
339,0.54375
340,0.553125
341,0.56875
342,0.55
343,0.59375
344,0.525
345,0.55
346,0.521875
347,0.515625
348,0.521875
349,0.55625
350,0.55625
351,0.534375
352,0.525
353,0.546875
354,0.55
355,0.5125
356,0.509375
357,0.50625
358,0.6
359,0.534375
360,0.509375
361,0.5625
362,0.528125
363,0.50625
364,0.509375
365,0.509375
366,0.540625
367,0.58125
368,0.571875
369,0.553125
370,0.56875
371,0.54375
372,0.528125
373,0.534375
374,0.5375
375,0.521875
376,0.5625
377,0.565625
378,0.540625
379,0.5625
380,0.5375
381,0.515625
382,0.55625
383,0.534375
384,0.528125
385,0.534375
386,0.55
387,0.525
388,0.578125
389,0.53125
390,0.55
391,0.56875
392,0.559375
393,0.590625
394,0.5375
395,0.54375
396,0.540625
397,0.528125
398,0.5375
399,0.490625
400,0.546875
401,0.515625
402,0.5375
403,0.546875
404,0.559375
405,0.55625
406,0.53125
407,0.58125
408,0.4875
409,0.553125
410,0.521875
411,0.5375
412,0.56875
413,0.546875
414,0.525
415,0.55
416,0.55
417,0.5125
418,0.56875
419,0.528125
420,0.528125
421,0.565625
422,0.528125
423,0.525
424,0.528125
425,0.53125
426,0.584375
427,0.509375
428,0.534375
429,0.525
430,0.51875
431,0.571875
432,0.534375
433,0.54375
434,0.525
435,0.54375
436,0.525
437,0.546875
438,0.553125
439,0.5625
440,0.5625
441,0.521875
442,0.525
443,0.553125
444,0.5625
445,0.515625
446,0.534375
447,0.584375
448,0.5125
449,0.534375
450,0.528125
451,0.521875
452,0.553125
453,0.553125
454,0.521875
455,0.528125
456,0.509375
457,0.559375
458,0.534375
459,0.55
460,0.571875
461,0.540625
462,0.571875
463,0.546875
464,0.6375
465,0.540625
466,0.503125
467,0.534375
468,0.575
469,0.509375
470,0.503125
471,0.565625
472,0.528125
473,0.51875
474,0.5375
475,0.584375
476,0.54375
477,0.53125
478,0.53125
479,0.55625
480,0.5375
481,0.503125
482,0.51875
483,0.534375
484,0.540625
485,0.5125
486,0.553125
487,0.51875
488,0.5
489,0.5625
490,0.525
491,0.528125
492,0.5375
493,0.540625
494,0.51875
495,0.5125
496,0.55
497,0.5625
498,0.53125
499,0.54375
500,0.571875
501,0.625
502,0.575
503,0.54375
504,0.55625
505,0.559375
506,0.534375
507,0.534375
508,0.540625
509,0.5375
510,0.54375
511,0.534375
512,0.521875
513,0.559375
514,0.528125
515,0.553125
516,0.503125
517,0.565625
518,0.55625
519,0.515625
520,0.540625
521,0.5375
522,0.51875
523,0.525
524,0.5375
525,0.528125
526,0.528125
527,0.534375
528,0.53125
529,0.525
530,0.590625
531,0.534375
532,0.565625
533,0.5625
534,0.565625
535,0.584375
536,0.528125
537,0.553125
538,0.5375
539,0.546875
